number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_patience,params_subsample,system_attrs_fixed_params,state
0,0.6577181208053692,2026-07-09 11:36:25.725658,2026-07-09 11:36:26.538961,0 days 00:00:00.813303,1.0,0.0,0.1,6,1,100,3,1.0,"{'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.1, 'subsample': 1.0, 'colsample_bytree': 1.0, 'min_child_weight': 1, 'gamma': 0.0, 'patience': 3}",COMPLETE
1,0.6657496561210454,2026-07-09 11:36:26.539774,2026-07-09 11:36:26.997658,0 days 00:00:00.457884,0.8,0.1,0.01,4,3,500,3,0.8,"{'n_estimators': 500, 'max_depth': 4, 'learning_rate': 0.01, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 3, 'gamma': 0.1, 'patience': 3}",COMPLETE
2,0.6438896189224704,2026-07-09 11:36:26.998392,2026-07-09 11:36:27.268002,0 days 00:00:00.269610,0.7,0.0,0.3,8,1,50,3,0.7,"{'n_estimators': 50, 'max_depth': 8, 'learning_rate': 0.3, 'subsample': 0.7, 'colsample_bytree': 0.7, 'min_child_weight': 1, 'gamma': 0.0, 'patience': 3}",COMPLETE
3,0.6638888888888889,2026-07-09 11:36:27.268728,2026-07-09 11:36:27.618552,0 days 00:00:00.349824,0.6,0.5,0.05,3,5,300,3,0.6,"{'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.6, 'min_child_weight': 5, 'gamma': 0.5, 'patience': 3}",COMPLETE
4,0.654843110504775,2026-07-09 11:36:27.619246,2026-07-09 11:36:28.004179,0 days 00:00:00.384933,0.5780093202212182,0.05808361216819946,0.06504856968981275,20,2,218,5,0.7993292420985183,,COMPLETE
5,0.648721399730821,2026-07-09 11:36:28.004959,2026-07-09 11:36:31.931609,0 days 00:00:03.926650,0.9162213204002109,0.18182496720710062,0.001124579825911934,15,3,321,2,0.9849549260809971,,COMPLETE
6,0.6531165311653117,2026-07-09 11:36:31.932432,2026-07-09 11:36:32.463403,0 days 00:00:00.530971,0.8059264473611898,0.29214464853521815,0.01174843954800703,11,2,187,3,0.645614570099021,,COMPLETE
7,0.654891304347826,2026-07-09 11:36:32.464238,2026-07-09 11:36:33.227004,0 days 00:00:00.762766,0.7962072844310213,0.6075448519014384,0.003123317753376431,16,1,255,2,0.7571172192068059,,COMPLETE
8,0.6428571428571429,2026-07-09 11:36:33.227828,2026-07-09 11:36:33.546934,0 days 00:00:00.319106,0.6523068845866853,0.6842330265121569,0.24659691172104828,20,1,79,3,0.9041986740582306,,COMPLETE
9,0.6497175141242938,2026-07-09 11:36:33.547774,2026-07-09 11:36:33.976257,0 days 00:00:00.428483,0.6293899908000085,0.31171107608941095,0.0012167028814593455,11,7,105,4,0.954660201039391,,COMPLETE
10,0.6657496561210454,2026-07-09 11:36:33.976884,2026-07-09 11:36:34.348475,0 days 00:00:00.371591,0.7619128128093872,0.18556568622710587,0.02134897198365317,3,3,448,4,0.841898172650503,,COMPLETE
11,0.6611570247933884,2026-07-09 11:36:34.349174,2026-07-09 11:36:34.791355,0 days 00:00:00.442181,0.8132934323300276,0.15732603553275873,0.01144141475946822,5,1,474,3,0.7753747596070704,,COMPLETE
12,0.6602739726027397,2026-07-09 11:36:34.792196,2026-07-09 11:36:35.352169,0 days 00:00:00.559973,0.9726872768199497,0.12977386689343998,0.008133405573570231,6,6,353,3,0.8202653893527182,,COMPLETE
13,0.6602475928473177,2026-07-09 11:36:35.353006,2026-07-09 11:36:35.673956,0 days 00:00:00.320950,0.8119853975542913,0.44785986825007595,0.0679306891540692,8,4,423,4,0.8981039795803184,,COMPLETE
14,0.659217877094972,2026-07-09 11:36:35.674766,2026-07-09 11:36:36.079309,0 days 00:00:00.404543,0.6847206772510797,0.11293526642960407,0.015265615120011228,2,7,490,2,0.7293023240258234,,COMPLETE
15,0.6675824175824175,2026-07-09 11:36:36.080144,2026-07-09 11:36:36.474957,0 days 00:00:00.394813,0.6400551889834704,0.12132877818462398,0.09631789525384356,4,5,382,3,0.9920129988123861,,COMPLETE
16,0.6666666666666666,2026-07-09 11:36:36.475754,2026-07-09 11:36:36.763256,0 days 00:00:00.287502,0.5320763806704023,0.28302529015720124,0.14293077490705453,3,3,281,3,0.9282119110753435,,COMPLETE
17,0.6601941747572816,2026-07-09 11:36:36.764001,2026-07-09 11:36:37.072210,0 days 00:00:00.308209,0.6488984182470833,0.5355346505090712,0.06745039400228034,6,3,308,2,0.9107451517739795,,COMPLETE
18,0.6694101508916324,2026-07-09 11:36:37.072945,2026-07-09 11:36:37.370402,0 days 00:00:00.297457,0.6739452080830536,0.06422100470509792,0.11100783274318998,2,6,295,3,0.9480123693393426,,COMPLETE
19,0.6592489568845619,2026-07-09 11:36:37.371077,2026-07-09 11:36:37.662194,0 days 00:00:00.291117,0.6051996096921004,0.026932226434274745,0.23844082757719579,2,7,305,2,0.9515977684925708,,COMPLETE
20,0.6693877551020408,2026-07-09 11:36:37.662870,2026-07-09 11:36:38.017038,0 days 00:00:00.354168,0.8194570485830894,0.32545376047867824,0.11333186647600386,4,6,149,2,0.941360471958717,,COMPLETE
21,0.665785997357992,2026-07-09 11:36:38.017805,2026-07-09 11:36:38.296009,0 days 00:00:00.278204,0.8116056576164153,0.2836534494609039,0.2940057393970998,5,8,124,2,0.8064516041897251,,COMPLETE
22,0.6666666666666666,2026-07-09 11:36:38.296717,2026-07-09 11:36:38.629909,0 days 00:00:00.333192,0.7997468553319516,0.11459691969740052,0.052376679924630444,4,10,227,4,0.9989645635839076,,COMPLETE
23,0.6684782608695652,2026-07-09 11:36:38.630571,2026-07-09 11:36:38.929216,0 days 00:00:00.298645,0.8820003746855838,0.6597236662182191,0.08670622441560731,3,7,120,3,0.9808299638340698,,COMPLETE
24,0.6693989071038251,2026-07-09 11:36:38.929910,2026-07-09 11:36:39.245201,0 days 00:00:00.315291,0.863239594725774,0.8487272573049465,0.06003854004795514,4,8,102,3,0.9611192014760638,,COMPLETE
25,0.654891304347826,2026-07-09 11:36:39.245862,2026-07-09 11:36:39.574924,0 days 00:00:00.329062,0.8820522181971124,0.7449421284614484,0.051383720107017784,9,10,57,2,0.8570744638630036,,COMPLETE
26,0.6685006877579092,2026-07-09 11:36:39.575619,2026-07-09 11:36:39.913062,0 days 00:00:00.337443,0.8770407693600549,0.9695948496083986,0.009970470950028638,5,9,75,3,0.984663979900695,,COMPLETE
27,0.6495956873315364,2026-07-09 11:36:39.913737,2026-07-09 11:36:40.246806,0 days 00:00:00.333069,0.7540659524953307,0.17628147268060318,0.06868059628275772,10,7,160,2,0.9382020442217296,,COMPLETE
28,0.654891304347826,2026-07-09 11:36:40.247497,2026-07-09 11:36:40.618127,0 days 00:00:00.370630,0.6118586639492374,0.7571126399022485,0.065149712443338,8,9,64,4,0.9487866522061413,,COMPLETE
29,0.6583679114799447,2026-07-09 11:36:40.618770,2026-07-09 11:36:41.021758,0 days 00:00:00.402988,0.9194587061057105,0.8044300697227731,0.0290353420373122,6,10,257,4,0.7672008746306255,,COMPLETE
30,0.66484268125855,2026-07-09 11:36:41.022415,2026-07-09 11:36:41.341655,0 days 00:00:00.319240,0.8250305547059915,0.1495639218850845,0.042947770705748685,3,6,200,2,0.9778322662681109,,COMPLETE
31,0.6620305980528511,2026-07-09 11:36:41.342331,2026-07-09 11:36:41.807000,0 days 00:00:00.464669,0.8205931088566604,0.9911928116419313,0.007385724249216141,9,9,81,3,0.8681021411438805,,COMPLETE
32,0.6675862068965517,2026-07-09 11:36:41.807774,2026-07-09 11:36:44.768818,0 days 00:00:02.961044,0.7925464998490407,0.8808466626675656,0.01020210927008105,5,9,112,3,0.980255506643274,,COMPLETE
33,0.6666666666666666,2026-07-09 11:36:44.769535,2026-07-09 11:36:45.112034,0 days 00:00:00.342499,0.8955082314043431,0.992260930074723,0.042509170005591825,6,10,52,4,0.9782879570942463,,COMPLETE
34,0.6300148588410104,2026-07-09 11:36:45.112920,2026-07-09 11:36:45.448156,0 days 00:00:00.335236,0.9553397805794733,0.9914654369437755,0.004808609727143809,2,10,82,3,0.9132661123404078,,COMPLETE
35,0.6549391069012178,2026-07-09 11:36:45.449084,2026-07-09 11:36:45.782006,0 days 00:00:00.332922,0.9030030017699173,0.2519737422252555,0.12888305426752147,9,4,186,3,0.9789568593617172,,COMPLETE
36,0.663013698630137,2026-07-09 11:36:45.782796,2026-07-09 11:36:46.154381,0 days 00:00:00.371585,0.7053386502080325,0.06195053611280988,0.02779407055011885,3,5,237,4,0.802260187045819,,COMPLETE
37,0.6685006877579092,2026-07-09 11:36:46.155178,2026-07-09 11:36:46.450526,0 days 00:00:00.295348,0.8744387947650892,0.9977749160588147,0.11326474673296517,4,8,141,3,0.8395541532575634,,COMPLETE
38,0.662125340599455,2026-07-09 11:36:46.451362,2026-07-09 11:36:46.760612,0 days 00:00:00.309250,0.8646954735349888,0.582978808496077,0.07475197786263194,3,2,142,2,0.9327412712095438,,COMPLETE
39,0.6684856753069577,2026-07-09 11:36:46.761397,2026-07-09 11:36:47.091947,0 days 00:00:00.330550,0.6525070874685834,0.3707911931879172,0.05403429248388556,4,7,264,3,0.8879585124195674,,COMPLETE
40,0.6666666666666666,2026-07-09 11:36:47.092612,2026-07-09 11:36:47.383351,0 days 00:00:00.290739,0.8841614124941237,0.21934008737433036,0.2605894866544237,2,6,90,2,0.9171579230323592,,COMPLETE
41,0.6602209944751382,2026-07-09 11:36:47.384016,2026-07-09 11:36:47.688431,0 days 00:00:00.304415,0.9324062366830876,0.6987664209902718,0.08326322268819275,2,9,71,3,0.6044275281721007,,COMPLETE
42,0.6531165311653117,2026-07-09 11:36:47.689065,2026-07-09 11:36:47.983880,0 days 00:00:00.294815,0.6460194638706336,0.011575675344289167,0.16064139299419644,10,6,224,4,0.9785775147500271,,COMPLETE
43,0.6639118457300276,2026-07-09 11:36:47.984629,2026-07-09 11:36:48.345815,0 days 00:00:00.361186,0.8626848142450052,0.9581989835783982,0.2476368822656518,2,6,196,2,0.8691506815678146,,COMPLETE
44,0.667578659370725,2026-07-09 11:36:48.346503,2026-07-09 11:36:48.658576,0 days 00:00:00.312073,0.7530163129191739,0.8532549261049794,0.059382697466826964,5,8,185,3,0.7789706741941969,,COMPLETE
45,0.6639118457300276,2026-07-09 11:36:48.659419,2026-07-09 11:36:49.031869,0 days 00:00:00.372450,0.7562808962506619,0.9857094581941516,0.04845122791971091,6,5,62,3,0.9056648505788281,,COMPLETE
46,0.6540027137042063,2026-07-09 11:36:49.032668,2026-07-09 11:36:49.537493,0 days 00:00:00.504825,0.9926038737851366,0.9400649357575187,0.0058595625837310475,12,3,134,4,0.9906095936174711,,COMPLETE
47,0.6711590296495957,2026-07-09 11:36:49.538378,2026-07-09 11:36:49.819945,0 days 00:00:00.281567,0.8336145544002741,0.9886264497813226,0.25702417209507145,5,9,136,2,0.7380397704122255,,COMPLETE
48,0.667574931880109,2026-07-09 11:36:49.820657,2026-07-09 11:36:50.128596,0 days 00:00:00.307939,0.8407268330147646,0.952125383012925,0.10508532249970266,4,9,118,2,0.7466340432319577,,COMPLETE
49,0.6604026845637584,2026-07-09 11:36:50.129494,2026-07-09 11:36:50.423550,0 days 00:00:00.294056,0.6436029589733164,0.9858300701885587,0.26920525426236896,7,9,181,2,0.7288513856411514,,COMPLETE
50,0.6648351648351648,2026-07-09 11:36:50.424281,2026-07-09 11:36:50.719967,0 days 00:00:00.295686,0.7489686848474382,0.3708149540945489,0.15765307186032856,5,4,201,2,0.9725097778339757,,COMPLETE
51,0.662125340599455,2026-07-09 11:36:50.720647,2026-07-09 11:36:51.059656,0 days 00:00:00.339009,0.9070558229589881,0.9507704733855111,0.12504264311268873,8,8,166,3,0.9610946420507029,,COMPLETE
52,0.6648351648351648,2026-07-09 11:36:51.060433,2026-07-09 11:36:51.459328,0 days 00:00:00.398895,0.9690280641096843,0.9054856754940188,0.08232539621999524,2,8,123,4,0.7763967080768815,,COMPLETE
53,0.6574585635359116,2026-07-09 11:36:51.460029,2026-07-09 11:36:51.768770,0 days 00:00:00.308741,0.927076394598435,0.9996404496638162,0.1654831214821415,7,8,77,3,0.7082490294445597,,COMPLETE
54,0.6629526462395543,2026-07-09 11:36:51.769531,2026-07-09 11:36:52.169157,0 days 00:00:00.399626,0.9766548022523097,0.9094133100969423,0.01905377641130429,8,8,75,2,0.9682186555751876,,COMPLETE
55,0.6576454668470907,2026-07-09 11:36:52.169882,2026-07-09 11:36:52.515988,0 days 00:00:00.346106,0.8592816919368488,0.7970846195810831,0.2825539152142696,7,10,238,2,0.694142311576224,,COMPLETE
56,0.6666666666666666,2026-07-09 11:36:52.516760,2026-07-09 11:36:52.844464,0 days 00:00:00.327704,0.7238632353107621,0.48580200637316395,0.049830181889130035,3,7,109,2,0.9387959217048827,,COMPLETE
57,0.6684931506849315,2026-07-09 11:36:52.845175,2026-07-09 11:36:53.159662,0 days 00:00:00.314487,0.6609076829354502,0.04939616034149417,0.10072653840483922,2,4,267,3,0.90674791023372,,COMPLETE
58,0.663013698630137,2026-07-09 11:36:53.160372,2026-07-09 11:36:53.526390,0 days 00:00:00.366018,0.8209212257346795,0.9605663938971709,0.11486519923471669,3,9,140,3,0.9483992755957968,,COMPLETE
59,0.6355421686746988,2026-07-09 11:36:53.527173,2026-07-09 11:36:53.950251,0 days 00:00:00.423078,0.5708383644203106,0.47619127099878844,0.001021220035378734,15,10,154,4,0.613956579860588,,COMPLETE
60,0.6270627062706271,2026-07-09 11:36:53.950988,2026-07-09 11:36:54.304234,0 days 00:00:00.353246,0.8240548945803302,0.9390094481323003,0.002840272628020466,2,5,93,2,0.9596219165209624,,COMPLETE
61,0.6648275862068965,2026-07-09 11:36:54.304959,2026-07-09 11:36:54.652752,0 days 00:00:00.347793,0.738269608489179,0.15347014509185952,0.04178792378164806,2,5,283,3,0.9124085224346098,,COMPLETE
62,0.6639004149377593,2026-07-09 11:36:54.653450,2026-07-09 11:36:54.945486,0 days 00:00:00.292036,0.7688936909925485,0.205124811555227,0.25185857512059373,2,4,264,3,0.8854397639517084,,COMPLETE
63,0.6639344262295082,2026-07-09 11:36:54.946315,2026-07-09 11:36:56.275306,0 days 00:00:01.328991,0.6724661934169086,0.10721152032737462,0.09333312092860366,3,7,273,4,0.9997658930948822,,COMPLETE
64,0.622356495468278,2026-07-09 11:36:56.276034,2026-07-09 11:36:58.262255,0 days 00:00:01.986221,0.9611211174493228,0.8574888470389677,0.002672577557110557,2,2,153,4,0.5686202072656128,,COMPLETE
65,0.6694101508916324,2026-07-09 11:36:58.262927,2026-07-09 11:36:58.538794,0 days 00:00:00.275867,0.799464669706508,0.9547988083542104,0.2704754238122186,4,8,202,4,0.8531982111114785,,COMPLETE
66,0.6565934065934066,2026-07-09 11:36:58.539515,2026-07-09 11:36:58.844890,0 days 00:00:00.305375,0.7907903436696939,0.9149060834294418,0.1758257235329535,7,8,347,4,0.8690485602792078,,COMPLETE
67,0.6514131897711979,2026-07-09 11:36:58.845664,2026-07-09 11:36:59.191063,0 days 00:00:00.345399,0.9020646725787721,0.8332703348687553,0.13832074401307243,12,7,163,5,0.7578422126541681,,COMPLETE
68,0.6639004149377593,2026-07-09 11:36:59.191768,2026-07-09 11:36:59.493468,0 days 00:00:00.301700,0.6999037786997928,0.848083584171151,0.24922194600624517,4,6,272,4,0.8656422982072682,,COMPLETE
69,0.6639344262295082,2026-07-09 11:36:59.494184,2026-07-09 11:36:59.820699,0 days 00:00:00.326515,0.8222812355930965,0.9874054202776723,0.15285319778309397,3,6,208,4,0.8019336560758088,,COMPLETE
70,0.6585365853658537,2026-07-09 11:36:59.821444,2026-07-09 11:37:00.160797,0 days 00:00:00.339353,0.9679931209964303,0.9753331353997321,0.11506258700884622,12,4,285,2,0.5525640522825467,,COMPLETE
71,0.6550335570469799,2026-07-09 11:37:00.161603,2026-07-09 11:37:00.966676,0 days 00:00:00.805073,0.9607674261367027,0.6869436850290915,0.006631685076863805,20,6,435,5,0.5841786569807509,,COMPLETE
72,0.6629986244841816,2026-07-09 11:37:00.967457,2026-07-09 11:37:01.262490,0 days 00:00:00.295033,0.9217746030544706,0.9567624157059221,0.2513819567158875,2,7,211,4,0.961568485212173,,COMPLETE
73,0.667590027700831,2026-07-09 11:37:01.263289,2026-07-09 11:37:01.580235,0 days 00:00:00.316946,0.5007709687521267,0.3780486114155994,0.2156022710264404,19,8,392,5,0.5916626817329522,,COMPLETE
74,0.6602209944751382,2026-07-09 11:37:01.580872,2026-07-09 11:37:01.878655,0 days 00:00:00.297783,0.6581468648802479,0.26115110298680566,0.12662523584923827,3,1,104,5,0.5344368730696502,,COMPLETE
75,0.6657681940700808,2026-07-09 11:37:01.879344,2026-07-09 11:37:02.195038,0 days 00:00:00.315694,0.7339141621047567,0.94049941458753,0.20728977619768305,3,10,198,4,0.6300752375427767,,COMPLETE
76,0.6666666666666666,2026-07-09 11:37:02.195829,2026-07-09 11:37:02.846433,0 days 00:00:00.650604,0.815719888200489,0.6479374258442646,0.0024896594775279837,8,7,245,5,0.9766095489066682,,COMPLETE
77,0.6666666666666666,2026-07-09 11:37:02.847116,2026-07-09 11:37:03.164931,0 days 00:00:00.317815,0.5880742954948708,0.08585946308719511,0.1772117960447786,2,6,199,4,0.7967864684159638,,COMPLETE
78,0.661134163208852,2026-07-09 11:37:03.165764,2026-07-09 11:37:03.472128,0 days 00:00:00.306364,0.825225888157221,0.7833328749165273,0.25783114371771004,4,8,102,3,0.8236854197633119,,COMPLETE
79,0.6620111731843575,2026-07-09 11:37:03.472811,2026-07-09 11:37:03.826874,0 days 00:00:00.354063,0.5778212396938862,0.10863201057928237,0.04603339429461716,4,4,171,3,0.9724059941365889,,COMPLETE
80,0.6666666666666666,2026-07-09 11:37:03.827568,2026-07-09 11:37:04.126026,0 days 00:00:00.298458,0.6407019463428429,0.14506270561317886,0.16025831601903925,5,8,428,3,0.8506236787875271,,COMPLETE
81,0.6556927297668038,2026-07-09 11:37:04.126766,2026-07-09 11:37:04.932863,0 days 00:00:00.806097,0.6642476160347118,0.2582515204038961,0.005305994361868116,11,6,357,2,0.9003978017670282,,COMPLETE
82,0.6620879120879121,2026-07-09 11:37:04.933887,2026-07-09 11:37:05.265395,0 days 00:00:00.331508,0.5905125383984268,0.47512904652359683,0.116790529161701,6,7,312,3,0.9007083171623528,,COMPLETE
83,0.667590027700831,2026-07-09 11:37:05.266131,2026-07-09 11:37:05.750766,0 days 00:00:00.484635,0.8908352886538666,0.9763166714531862,0.0028163532152995284,7,7,185,3,0.9585202548736408,,COMPLETE
84,0.6610878661087866,2026-07-09 11:37:05.751537,2026-07-09 11:37:06.232382,0 days 00:00:00.480845,0.6538928001230033,0.3147519831452862,0.015085754546504052,6,9,255,3,0.9114649785958603,,COMPLETE
85,0.6508172362555721,2026-07-09 11:37:06.233314,2026-07-09 11:37:06.599044,0 days 00:00:00.365730,0.9485101260192187,0.41520566138076553,0.0027824176853996495,14,8,57,4,0.7415891271695293,,COMPLETE
86,0.6520547945205479,2026-07-09 11:37:06.599787,2026-07-09 11:37:06.979977,0 days 00:00:00.380190,0.699451653265898,0.2323820783894402,0.27662320163438636,13,7,50,3,0.6045657683199609,,COMPLETE
87,0.6684856753069577,2026-07-09 11:37:06.980757,2026-07-09 11:37:07.334555,0 days 00:00:00.353798,0.9982082143491382,0.4086060253630605,0.06262856492197981,3,7,293,2,0.9822194001111958,,COMPLETE
88,0.6565934065934066,2026-07-09 11:37:07.335383,2026-07-09 11:37:07.725326,0 days 00:00:00.389943,0.6041908231623883,0.11822190926669554,0.03702931255508747,8,2,307,3,0.9058675646116523,,COMPLETE
89,0.6601398601398601,2026-07-09 11:37:07.726088,2026-07-09 11:37:08.091934,0 days 00:00:00.365846,0.6913098608615239,0.0386444109910484,0.08777532772009813,2,2,374,2,0.8915798901892135,,COMPLETE
90,0.659400544959128,2026-07-09 11:37:08.092766,2026-07-09 11:37:09.653689,0 days 00:00:01.560923,0.7260751263491245,0.0019629819788029162,0.09944565770710251,3,2,286,4,0.9095641566242171,,COMPLETE
91,0.663923182441701,2026-07-09 11:37:09.654585,2026-07-09 11:37:11.229458,0 days 00:00:01.574873,0.9901222894134207,0.24414671362252985,0.043700848706153976,4,9,365,2,0.8576454644773522,,COMPLETE
92,0.6648199445983379,2026-07-09 11:37:11.230249,2026-07-09 11:37:11.891341,0 days 00:00:00.661092,0.9068305002960836,0.565953171470958,0.00970510269471514,3,6,254,2,0.8866514078076132,,COMPLETE
93,0.660377358490566,2026-07-09 11:37:11.892157,2026-07-09 11:37:12.233192,0 days 00:00:00.341035,0.9234658258850731,0.5813233771033673,0.27765946419417104,9,7,393,2,0.9272722591584013,,COMPLETE
94,0.6595460614152203,2026-07-09 11:37:12.233949,2026-07-09 11:37:12.559486,0 days 00:00:00.325537,0.9910747829189906,0.3889965402767866,0.14395482337943963,5,7,323,2,0.971693667424116,,COMPLETE
95,0.6675712347354138,2026-07-09 11:37:12.560220,2026-07-09 11:37:12.933237,0 days 00:00:00.373017,0.978551398441508,0.28416271122996356,0.026736090771891246,4,10,184,2,0.9573844100804132,,COMPLETE
96,0.663923182441701,2026-07-09 11:37:12.933958,2026-07-09 11:37:13.335655,0 days 00:00:00.401697,0.6293557371043417,0.37300391995052895,0.03400076247693121,4,6,374,2,0.9298214483777998,,COMPLETE
97,0.6703146374829001,2026-07-09 11:37:13.336392,2026-07-09 11:37:13.750086,0 days 00:00:00.413694,0.9582999888323226,0.4893649032793501,0.017285269067138176,5,5,450,2,0.9409328175242632,,COMPLETE
98,0.6639004149377593,2026-07-09 11:37:13.750822,2026-07-09 11:37:14.259867,0 days 00:00:00.509045,0.8501187924982146,0.294915131086036,0.00843604506983936,3,6,467,2,0.8685793078710318,,COMPLETE
99,0.6582984658298466,2026-07-09 11:37:14.260786,2026-07-09 11:37:14.642597,0 days 00:00:00.381811,0.9462636041256121,0.8522937840444114,0.018128948915756803,2,6,155,3,0.9373595181841669,,COMPLETE
